Venue,Review ID,review,N/C,Tone
ICLR,HypkN9yRW_R1,"- The IEP ( Cells ) module ( Johnson et al . , 2017 ) seems to do all the heavy lifting in my opinion .",2,1
ShitMyReviews,,"Can you explain this part a bit further, but without going into detail.",3,2
ICLR,Hyp3i2xRb_R1,"Authors evaluate their RIN on the adding , sequential MNIST and the baby tasks and show that their IRNN outperforms the IRNN and LSTM models .",3,2
ICLR,HyrCWeWCb_R3,The paper largely follows the work of Nachum et al 2017 .,3,1
ShitMyReviews,,Use of words like 'performativity' (is that a word?),2,1
ICLR,SySpa-Z0Z_R2,"Terms like this will emerge in many other models , where one assumes diagonal covariance Gaussians ; in fact the easiest model to justify this penalty is just to say one introduces diagonal Gaussian prior over activations , and thats it .",5,1
ShitMyReviews,,That gives a ridiculous demonstration where authors forgot science and reinvent history (...) the authors don't have a clue of what was already done in the literature.,1,3
Publons,DOM-19-0797-OP.R2,There are no additional comments. I am convinced again that the revised manuscript has already been completely revised.,3,2
ICLR,HymuJz-A-_R2,"Also , I cant tell if I really fully believe the results of this paper .",2,3
ShitMyReviews,,That's not how science is done.,2,1
ShitMyReviews,,"While the problem is a very important one for modern society, the topic and lessons are not of broad interest.",2,1
ICLR,rytstxWAW_R2,"3 ) what loss g is used in experiments ? """,3,2
ICLR,B16yEqkCZ_R1,The authors propose to train a predictive model that lead to catastrophes .,2,1
ICLR,rytstxWAW_R4,"I think that this paper mostly looks solid , but I am a bit worried about the following assumption : Specifically , we interpret that graph vertices are iid samples of some probability distribution .",3,1
ShitMyReviews,,Ah-now I see a glimpse of promise in this paper,2,1
Publons,MEE-20-11-869,"Please, consider carefully my comments in the attached file.",3,3
NIPS,630,"While there is not much related work, I am wondering whether more experimental comparisons would be appropriate, e.g. with min-max networks, or Dugas et al., at least on some dataset where such models can express the desired constraints. - The technical delta from monotonic models (existing) to monotonic and convex/concave seems rather small, but sufficient and valuable, in my opinion.",5,2
ICLR,B17JTOe0-_R3,"The manuscript is not written in a way that is suitable for the target ICLR audience which will include , for the most part , readers that are not expert on the entorhinal cortex and/or spatial navigation .",4,2
ICLR,B1J_rgWRW_R3,I think these contributions are unwarrant publishing the paper at ICLR 2018 .,2,1
ShitMyReviews,,"Focus on limitations, because they are many!",3,3
ShitMyReviews,,It is not clear what the author wants to accomplish.,1,3
ShitMyReviews,,Come on please!!!,1,2
ICLR,ryserbZR-_R3,""" The authors approach the task of labeling histology images with just a single global label , with promising results on two different data sets .",4,3
ICLR,B1EA-M-0Z_R1,"In other words , how cunningly structured is this paper, or is it mostly a cute mathematical trick?",1,3
Publons,DOM-20-0317-BR.R1,The authors have satisfactorily responded to all my questions and made the necessary changes to the manuscript. I have no further concern.,3,3
ShitMyReviews,,"Since the paper is mathematically empty and, compared with the conference version, provides no new ideas or findings, in general, I see no reason why it should be published in a journal as well.",3,3
Publons,DOM-21-0179-OP,"Well written, concise manuscript providing clinically relevant data regarding add-on therapy of liraglutide to SGLT2i +/- metformin. Congratulations. 
  
 Please see my comments in the pdf document. 
  
 Please consider the anaylses of HOMA.IR and the assessment of an inverse-U-shaped correlation.",4,1
ShitMyReviews,,Your proposed method should be compared with another method that introduced in a prestigious paper'[full review],4,2
ICLR,B1e5ef-C-_R3,My most criticism regarding this paper is the narrow scope,2,2
NIPS,286,All theories in section 2 could be generalized to the unit sphere?  [Fixing alpha] It seems to be too restrictive to fix alpha=1. It could be possible to generalize the theory to smaller alpha values?  [Lack of comparison] There exist many similar works to learn a classifier with heavy-tail distributions.,5,1
Publons,DOM-21-1253-COM.R1,Changes made by the authors are acceptable.,3,2
ICLR,ryserbZR-_R1,"Although the result are good and the method interesting , I think that the technical contribution is a bit thin for a ML conference and this paper may be a better fit for a medical imaging conference .",3,1
ShitMyReviews,,The original study was published in PsycScience. This is just some work by a grad student. Reject.,2,1
ICLR,HymYLebCb_R1,"Perhaps this is due to a lack of available graph training data , but it doesnt seem to make a lot of sense .",3,3
Publons,VMS3-2021-Jul-0462,"Very well-written, interesting, and complete case report.  
 Few comments: 
 Line 47: CT-guided instead of Ct-guided  
 Line 103: sclerotherapy- add reference Anson et al. 
 Line 128: dorsal plane instead of frontal plane 
 Add a conclusion.",5,1
ICLR,ryykVe-0W_R1,"The method seems interesting , but the presentation has a severe lack of focus .",3,1
ShitMyReviews,,Reviewer #1: 'The project can hardly be described as high risk/high gain' Reviewer #3: 'The project is clearly high risk/high gain,2,3
ICLR,HytSvlWRZ_R3,"Conclusion : Though with a quite novel idea on solving multi task censored regression problem , the experiments conducted on synthetic data and real data are not convincing enough to ensure the contribution of the Subspace Network .",3,3
ICLR,B11bwYgfM_R3,"Without good reasoning from the authors , I see no reason why the entries in the row of a matrix should have a normal like distribution .",4,1
ShitMyReviews,,"First, unless my statistics is failing me, a less than 1.0 SD is not significant.",2,1
ICLR,rytstxWAW_R3,Please add label axes to Figure 2 ; currently it is very hard to read .,3,1
ICLR,rydeCEhs-_R3,It is not clear whether this is a new contribution of this paper or whether the authors merely adopt this idea .,3,2
ShitMyReviews,,"Like Dr Who's Tardis, the inside of the paper is bigger than the outside.",2,2
ShitMyReviews,,This is a paper struggling not to die,2,1
ShitMyReviews,,"The enormous and overwhelming -not to say pathetic- admiration, even adoration of the author for her subject is barely acceptable anymore for a modern biography.",2,2
ShitMyReviews,,What is a 'systematic' review? I have never heard of an unsystematic review.,1,2
ICLR,HypkN9yRW_R3,3.t The discussion on the tradeoff between tacking difficult problems and using the knowledge of program structure is engaging .,3,2
NIPS,96,"Additionally it would also be interesting to see a few examples of pruned filters which have been transformed back into the spatial domain and compare them against the original, unpruned version.",5,2
ICLR,HypkN9yRW_R1,""" Summary : This paper leverages an explicit program format and proposes a stack based RNN to solve question answering .",3,2
ICLR,ry4SNTe0-_R1,I need to say the paper is poorly written and not properly polished .,3,2
ICLR,B13njo1R-_R2,"PLAID masters several distinct tasks in sequence , building up skills by learning related tasks of increasing difficulty .",3,2
ShitMyReviews,,"Overall, the superheated sense of justification and self-advertising on display here are simply demeaning.",2,1
ICLR,HymYLebCb_R2,It will be better to make the notations easy to understand and avoid any notation in a sentence without explanation nearby .,4,1
ICLR,HymuJz-A-_R1,Pros Important message about network limitations .,2,3
ShitMyReviews,,They show they can account for 20% of the variance. NoÂ wonder. The usually accepted level is 50% to be useful.,2,2
ICLR,ryykVe-0W_R2,"5 ) Section 3.1 : This section is devoted to generating samples from the product of the marginals , even using separate generator networks .",3,2
ICLR,rytstxWAW_R1,"Later on , sampling from P becomes equivalent to uniform sampling over the observed nodes .",3,2
ICLR,SySisz-CW_R1,They also claim that this analysis can be used to improve the performance of the models .,3,2
ShitMyReviews,,"Moreover, it is unclear whether the effect is sufficiently important to warrant replication.",2,3
ICLR,B13EC5u6W_R1,"It would be v interesting ( and provide a good baseline ) to use a shallow network ( i.e . PCA ) instead , and elucidate what advantages the deep network brings .",4,2
ICLR,rywHCPkAW_R2,"At the top of p3 , you may update your list with PPO and ACKTR , which are now "" classical "" baselines too .",3,1
ICLR,SySisz-CW_R2,""" This work exploits the causality principle to quantify how the weights of successive layers adapt to each other .",3,2
NIPS,220,"The paper seems well-written and technically sound. I also believe that the application is very important. Estimating conditional distributions is a very difficult and important task. However, it is  not easy to read it and the presentation of used techniques can be improved.  ",3,2
ICLR,rkhxwltab_R2,The contribution of the paper is not clear .,2,2
ICLR,rkc_hGb0Z_R2,The paper oversells the approach in many ways .,1,3
ICLR,ryserbZR-_R1,""" This paper describes a semi supervised method to classify and segment WSI histological images that are only labeled at the whole image level .",5,1
ICLR,ryserbZR-_R1,Experiments are run on 2 public datasets achieving potentially top performance .,3,3
ShitMyReviews,,"Moreover, it is very difficult to see the actual contribution this manuscript will have",2,1
ShitMyReviews,,I recommend the publication even if I am not impressed,2,1
Publons,ELE-00254-2021,The authors did a great job to respond to my and the other reviewers' criticisms. I have no further point to raise.,3,3
ICLR,ryserbZR-_R2,"It correctly identifies the problem that DL usually requires large image databases to provide competitive results , while annotated histopathological data repositories are costly to produce and not on that size scale .",3,3
ICLR,Hyp3i2xRb_R3,2034-2042 . 2016 .,3,1
ICLR,Hymt27b0Z_R2,"More problematic is that , right after eq .10 , the authors mention "" We show in the Appendix that OMIE has the desirable strong consistency and convergence properties "" . However , the appendix doesnt contain such a proof .",4,3
ShitMyReviews,,I am not convinced if any clear real value of this research.,2,3
ICLR,B1KFAGWAZ_R3,It is furthermore not clear whether training was carried out on multiple seeds or whether these are individual runs .,3,1
ShitMyReviews,,"I understand that Wikipedia is not the best source for my information, however, I don't have access to the [peer-reviewed] literature you cite, and based on the information from Wikipedia, your hypothesis breaks down.",2,3
ICLR,HypkN9yRW_R1,So its not very surprising that the proposed method can outperform Fi LM ( by a little bit ) .,2,2
Publons,M22020069.R1,I thank the authors for addressing any of my comments.,3,2
ShitMyReviews,,"The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup.",1,1
ICLR,rypT3fb0b_R2,I liked figure 6.d and would vote for inclusion in the main paper .,4,1
ICLR,B13njo1R-_R3,"Indeed , because the retention of tasks is done by distilling all of them jointly , one baseline is to keep finetuning a model through the 5 stages , and then at the end after collecting the 5 policies you can do a single consolidation step that compresses all .",4,3
ShitMyReviews,,"Not sure how to say this diplomatically, but the manuscript is really dull",1,2
ShitMyReviews,,"So, what is the point of this?",1,2
ShitMyReviews,,"In a nutshell, please cut out all the hype, show some integrity, and write a balanced paper.",2,1
NIPS,701,"The paper is solid and describes a major contribution to the field of Statistical Machine Learning.  Edward2 is a leap-forward over the existing state-of-the-art, i.e. Edward. I expect it to allow for significantly improved development times for statistical models. ",3,1
ShitMyReviews,,It just doesn't make sense.,2,2
ShitMyReviews,,This book has more mistakes than a hound has fleas,1,1
ShitMyReviews,,"This is a well-intentioned but naïve and unscholarly presentation of a point of view that is not well-supported by evidence – a polemic, not a review",3,1
ShitMyReviews,,"I was originally very excited to review this paper, since such a bridge would span uncharted lands – here be dragons! High was my expectation, and so much deeper was my disappointment",2,1
Publons,VMS3-2020-Feb-0047.R3,Well done i am happy with the article,3,2
NIPS,719,"However, a few additional experiments should be considered to make the paper stronger, and to back up the claim of state of the art, which I currently donât see fully supported.   If the additional suggested experiments (in particular a SMILES-LSTM baseline) are provided, I would increase my evaluation from 7 to 8, regardless of the outcome of the comparison experiments. ",5,3
ICLR,ryserbZR-_R1,"Potentially , because all other methods supposedly make use of segmentation labels of tumor , while this method only uses the whole image label .",3,2
ICLR,rytstxWAW_R4,Experimental results demonstrate a significant speedup in per batch training time compared to previous works while retaining similar classification accuracy on standard benchmark datasets .,2,2
NIPS,50," I also invite the authors to reconsider the following statements which are incorrect / misleading. (a) ""Most recently, Dai et al. [10] used reinforcement learning to train a deep Q-network (DQN) to incrementally construct solutions to graph-based NP-hard problems, and showed that this approach outperforms prior learning-based techniques."" - For tasks where the methods are comparable (and compared), Dai et al report worse results when reimplementing NCO than those initially reported in NCO paper. Careful reading indicates that they used a moving average baseline instead of a critic, they don't use the fact that NCO can sample many solutions as one, etc... ",5,1
ShitMyReviews,,Didn't like this one,1,2
ICLR,rywHCPkAW_R2,"By the way , a wild question : if you wanted to use Noisy Nets in an actor critic architecture like DDPG , would you put noise both in the actor and the critic ?",3,1
ShitMyReviews,,There is no point in commenting on the statistical overkill in the submission. It simply should not have happened. It should never happen again.,2,3
ICLR,HytSvlWRZ_R2,"However , for some key steps in the proof , they refer to other references .",2,1
ICLR,B1G6uM0WG_R2,"There are vague references to the policy being difficult to define , but that motivates the importance of negligance in general , not deep RL .",4,3
ICLR,HymYLebCb_R2,"( incomplete sentence ? P5 ) """,2,2
ShitMyReviews,,This was a well-written study that upon my first reading appeared flawless.,3,2
ICLR,rkYTTf-AZ_R2,The results are interesting ( but perhaps less interesting than what is hinted in the abstract ) .,3,2
ICLR,SySpa-Z0Z_R2,Pros : - empirical improvements shown on two different classes of problems .,3,2
ICLR,Hymt27b0Z_R1,"- In the GAN setting , I am failing to see why one would use a MI regularizer over an entropic regularizer .",3,2
Publons,VMS3-2020-Sep-0438.R1,"hi  
 thanks for edition of article  
 best",3,2
ICLR,B11bwYgfM_R2,"- As mentioned above , the proposed method can be computationally expensive ( when used for MTL ) , but no timing results are reported .",4,1
ICLR,B1nxTzbRZ_R2,All of their work is based on defogging clarity.,2,3
ICLR,B1G6uM0WG_R2,"* The paper overstates the contributions of Q masking , emphasizing improvements to data efficiency among others .",3,2
ShitMyReviews,,The paper was so boring I fell asleep halfway through,2,2
Publons,ITEES-21-1848.R1,I congratulate the author for the work,3,2
ShitMyReviews,,The whole piece presents a non-argument. It simply confirms something self-evident and dresses it up as remarkable by building up a straw man that is duly demolished.,3,1
ICLR,B1EVwkqTW_R1,"It sometimes uses vague/nonstandard terminology ( "" parameterless "" ) and statement .",4,1
ShitMyReviews,,"I recommend acceptance, provided the editors are willing to stretch the standards for publication a bit",3,1
ICLR,HymuJz-A-_R1,Cons Straightforward testing of network performance on specific visual relation tasks .,3,1
ICLR,B1IDRdeCW_R1,"To summarize , the first part is interesting and nice , the second part was not clear to me , and the last part does not seem very useful .",3,2
ICLR,B1ZZTfZAW_R3,I would have difficulty trusting any experiments using the synthetic data .,3,1
ICLR,B1J_rgWRW_R1,"However , the construction seems artificial and these functions dont seem to be visually very complex .",2,2
Publons,DOM-20-1523-BR,"1. Briefly explain the figure in the legend 
  
 2. Why there is no ethics approval?",3,1
ICLR,HyrCWeWCb_R3,It is hard to judge the significance of this extension .,2,2
ICLR,Hyp-JJJRW_R1,"If thats not the motivation , then what is it ?",4,3
ICLR,B11bwYgfM_R3,"Prior techniques which can address some of these aspects do not necessarily work with deep learning , which is a key focus of the paper .",3,2
Publons,ACP-2021-10336.R1,"The authors have addressed previous remark sufficiently. The use of the MADRS-S remains a point of discussion as do the various cut-offs used. But as correctly stated, improves comparability. It would be advisable to demonstrate clinical validity of the cut-offs and the scale used.",5,3
ShitMyReviews,,My major concern to accept this work-in-progress paper is that these findings are not super interesting to readers in my opinion.,2,3
ICLR,HytSvlWRZ_R3,"4 . Typo : In Table2,3,5 , Multi l_ { 2,1 } ( denotes the L2,1 norm ) were written wrong .",3,3
ICLR,B1KFAGWAZ_R2,"Second , even though the proposed architecture proved to perform empirically better that the considered baselines , the extent to which it advances RL research is unclear to me .",3,2
ICLR,HytSvlWRZ_R3,SN model outperforms the state of the art with only small margin .,3,3
ICLR,B13EC5u6W_R2,This looks very noisy and non interesting .,3,1
ICLR,HytSvlWRZ_R2,"Thus , I would like to see a comparison between SN with vanilla DNN .",4,1
ShitMyReviews,,"This article describes [XY]Â, a research project investigating methods forÂ educational game design. The paper is poorly written"".[full review]",2,3
ICLR,Hymt27b0Z_R1,"Similarly , if you want to prove something about GANs you probably have to make assumptions too .",4,2
Publons,DOM-19-0873-BR,"A well written paper, with arguments clearly constructed. I did not find any typographical errors. 
  
 I have one suggestion. On page 5, last line it says â€œthe other statistically significant variable in the model was number of meals per dayâ€. I think this point ought to be expanded upon, presumably more meals decreases the TIR, and this is a further limitation of this kind of system.",4,2
Publons,VMS3-2020-Mar-0130.R1,Necessary comments are being attached.,3,1
ICLR,B1EPYJ-C-_R3,The authors do not provide any analysis about what can be learned from this paper.,2,3
NIPS,719,"Lemma 2: The lack of uncertainty propagation in standard supervised learning methods is an important point indeed. However, you specifically introduce it as a problem of variational inference, while I think it is a problem that applies to all uncertainty methods from supervised learning used in RL, when their output distribution and loss only concern a mean. ",5,1
ICLR,B1D6ty-A-_R2,"The main application of this paper is autoencoders , which are functions from R^d -> R^d .",3,2
ICLR,SySisz-CW_R1,Grammatical and spelling mistake are frequent .,3,3
ICLR,HytSvlWRZ_R3,2 . On line settings to train parameters ( guaranteed convergence in a single pass of the data ) Weakness : 1 .,3,2
ICLR,B1KFAGWAZ_R2,"To make the paper stronger and justify importance of the proposed architecture , I suggest authors to consider relaxing assumptions on the communication protocol to allow delayed and/or noisy communication ( including gradients ) .",5,3
ShitMyReviews,,Authors rarely followed the advices,1,3
ShitMyReviews,,"I am sure that you would find what you expect, but I question its value as research",2,1
ICLR,HypkN9yRW_R1,"I think they have fairly similar structure , at least conceptually , the stack RNN can be thought as a tree parser .",3,2
ICLR,Hyp-JJJRW_R2,They do not show convincingly that the network managed to learn interesting class specific and class agnostic representations .,4,1
ICLR,HytSvlWRZ_R1,Other remarks .,1,1
ShitMyReviews,,"This paper is conceptually unclear, and the causal argument/hypotheses are muddled. In short, it is a mess. I stopped reading after page 7.",2,2
ShitMyReviews,,I would drop the first clause in the paper title. It does nothing other than degrade the scientific integrity of the work.,3,3
ShitMyReviews,,It is not hard to develop this method…I could write code for this on a rainy afternoon.,2,2
ICLR,HymuJz-A-_R2,"I cant point to exactly what would have to be different to make things "" work "" , because its really hard to do that ahead of actually trying to do the work .",2,3
Publons,WE-20-0292.R2,"In Table 3 there are two sets of data for H80.  
 𝐸11 = 𝐸22 = 48, 𝐸33 = 90  
 and  
 𝐸11 = 𝐸22 = 55, 𝐸33 = 98  
 It is not clear which one of these two sets is used in the modelling. I raised this but the response is irrelevant. Please ask authors to amend this in proof reading. No need for my review.",5,2
ICLR,B1EPYJ-C-_R3,"Furthermore , the paper is easy to read with good organization .",3,2
ICLR,rkA1f3NpZ_R2,"For this reason , I do not recommend this paper for acceptance .",3,2
ICLR,HymuJz-A-_R2,"How do the authors know that humans are effectively generalizing rather than just "" interpolating "" within their ( very rich ) training set ?",3,2
ShitMyReviews,,Usually climate studies do not show a good method for the proposed research. This is one of them.,2,1
ICLR,Hyp-JJJRW_R1,I dont find the reconstructions demonstrated particularly compelling ( they are generally pretty different from the original input ) .,2,1
ICLR,BJE-4xW0W_R1,not particularly impressive that is an issue for me .,2,1
Publons,ITEES-19-1547.R1,The revised paper can be accepted.,3,3
ShitMyReviews,,One wonders whether the analysis was an exercise in using a cannon to open an unlocked door.,2,2
ShitMyReviews,,"Unfortunately the manuscript is not well structured and the English is very poor. Usually I would attempt to improve this, but in this case the entire manuscript needs to be reworked - starting with the tittle.",3,1
Publons,VMS3-2020-May-0234,"In Introduction: I suggest to rewrite this section by providing proper justification of this study. I also suggest to cite appropriate latest references in each statement.  
  
 Materials and Methods: I suggest to cite appropriate latest references in each subheading.  
  
 Fig. 1 and 2: Please add DNA Marker in both sides of the expected bands.",5,3
Publons,VMS3-2020-Jun-0265.R1,"Thanks for the revisions. I only a very little comments to be corrected. 
  
 Running head: 
 Juvenile Canine Thoracic Tumor – the running head is still not adequate: the term juvenile tumor suggests that the tumor is juvenile…What about: Neuroectodermal tumor in a juvenile dog  
  
 Line 24 rare tumors in juvenile – subject missing or correct to juveniles  
 line 80: eighted turbo spin echo (TSE) –missing letter",5,3
ShitMyReviews,,"It is very well done, but sits somewhat in isolation from other schools of thought. It is -and I mean this with no disrespect to the author - a sort of echidna or platypus of a paper.",2,3
ShitMyReviews,,"Frankly, she knows nothing about invasion biology or the Great Lakes and should stick with what she does know.",1,2
ICLR,B11bwYgfM_R3,"In this case , the means are standard deviations do not even make sense to me .",2,1
ShitMyReviews,,This paper still reads in places more like alternative fan-fiction than scholarship.,1,2
Publons,ITEES-19-1311,"Some questions are listed below:  
 1. Fig.1 shows that the power converter is a half-controlled rectifier. How about driving mode? Is another PWM converter working when the car is in a driving mode?  
 2. The experimental part does not contain any waveforms showing the results are from experiments. Please at least present some figures of capacitor voltage and current in this part.",5,3
NIPS,206,"I am not an expert on submodular optimization, I therefore only focussed on the convex optimization problem and the coordinate descent algorithm part.  Algorithm 1 is a way how to implement the standard coordinate descent algorithm when probabilities of choosing coordinates are coming from given distribution P.  the description of the algorithm is following the standard in the literature  ",3,2
ICLR,BJB7fkWR-_R1,My opinion is that this paper is waste of time.,2,3
ShitMyReviews,,"This will never work: Negative reviews of famous, ground-breaking papers. http://www.fang.ece.ufl.edu/reject.html"">http://www.fang.ece.ufl.edu/reject.html",1,2
ICLR,B1D6ty-A-_R2,Each minimization problem is not convex but is quasi convex and hence one can use stochastic normalized gradient descent to minimize w.r.t . each variable .,4,1
ICLR,SySpa-Z0Z_R2,"From practical perspective : Activation norm penalties are well known objects , used for many years ( L1 activation penalty for at least 6 years now , see "" Deep Sparse Rectiufb01er Neural Networks "" ; various activation penalties , including L2 , changes in L2 , etc . in Krueger Ph D dissertation ) .",5,3
ICLR,B13EC5u6W_R3,This gives an image that is similar to the original but with features that caused the classification of the disease removed .,3,3
ICLR,Hymt27b0Z_R2,"While that last work introduced an estimator based on optimization over the unit ball in an RKHS , the current work propose to use a parametric function class given by a neural network ( Id suggest that the authors make this point more explicit , as currently its not totally clear what their actual contribution is and how their work compares to the prior art they cite ) .",5,1
ICLR,HJLPel-CW_R3,"Style transfer has two key components , the first is how well it is transferred to the target style ; second is how well it preserves the original contents .",3,1
ShitMyReviews,,The experimental design is a bit funny,2,1
ShitMyReviews,,"Which means that, as the saying goes, if their results are correct they cannot be new, and if they are ""newâ€ they cannot possibly be correct.Frankly, it is hard to say which is the case",2,2
ShitMyReviews,,The last two sentences of the summary greatly exaggerate the value of this paper and the usefulness of its conclusions.,2,2
Publons,VMS3-2019-Nov-0294.R2,congratulations,1,2
ShitMyReviews,,The discussion is inappropriate and the new content is generally poorly written,3,2
ICLR,B1G6uM0WG_R1,It was not clear from this presentation how the human participants were rewarded for their performance .,4,3
ICLR,ryykVe-0W_R1,"Linear ICA is a solved problem and the authors do not seem to be able to add anything there , so I would recommend dropping that to save space for the more interesting material .",3,2
ICLR,Hyp3i2xRb_R3,Were these experiments run until completion ?,3,3
ICLR,B1CNpYg0-_R2,None of these ideas are new before but I havent seen copying this blindly before .,2,3
ICLR,HyrCWeWCb_R2,"When a policy is required to pass through a very narrow tunnel of states , the regularization that forces a wide action distribution could not have a good performance .",3,2
ShitMyReviews,,This work amounts to a form of methodological perfectionism. Perfectionism can be the enemy of the possible in science.,2,2
NIPS,49,"Quality: Overall, the writing quality is good, the main idea is clearly presented. Clarity: The notations are well-organized and easy to interpret. Originality: It is an incremental work with limited novelty. Significance: Theoretical proofs are missing, experiments should add more powerful baselines. [1]. J. Zhou. MALSAR: Multi-task learning via structural regularization. ",5,2
NIPS,96,"Also note that the SMILES-RNN does not need any masking, or sophisticated preprocessing!), to compare to a well-tuned  SMILES-based LSTM (start with 3 layers x 512 dim) â also keeping in mind the results by Melis et al. ICLR 2018 for language models. In practice, the SMILES-RNN is widely and successfully used, and actually molecules designed by it have been made in the lab and tested ",5,2
ICLR,ryZElGZ0Z_R3,"However , I felt that the central ideas were only thinly vetted .",3,1
Publons,IGJPS-2019-MSA-0253,"Minor corrections are required.
 
 Reference numbers are not in sequence
 
 Some references are not as per guideline.",4,2
ShitMyReviews,,In order to be able to publish this manuscript it need [sic] to be rewritten in the form of a scientific article,3,2
ShitMyReviews,,"DO NOT have your heroes set the villain on FIRE. It's actually considered a war crime, and it is a very gruesome experience leaving horrific scars and affecting health for the rest of your life. It tends to make the heroes look like major arses.",1,2
ICLR,B16_iGWCW_R2,This paper instead designed a new boosting method which puts large weights on the category with large error in this round .,3,2
ShitMyReviews,,"Unfortunately, I cannot recommend this paper for publication because its contents violate the laws of physics",3,2
ICLR,HymuJz-A-_R2,"After all , when we humans generalize to understanding relationships , exactly what variability is present in our "" training sets "" as compared to our "" testing "" situations ?",3,1
NIPS,432," Theorem 2 is fairly restrictive since it has to assume convexity, but I see from the examples that there are indeed losses that satisfy EBC for theta > 0 yet are not strongly convex.  * Theorem 3: To make the paper more comprehensive it would be better if this result could be extended to L*-dependent regime studied in Theorem 2. Also, please add more discussion as to why adapting to the parameter theta is a major technical challenge,",5,1
ICLR,HyrCWeWCb_R3,"Finally , the Lagrange parameter is estimated from the trust region method .",3,3
ICLR,rytNfI1AZ_R2,"The approach is precisely described although the text sometimes could be a bit clearer ( for example , the text contains many important references to later sections ) .",4,3
ICLR,B14uJzW0b_R2,"I also appreciate the effort of developing theoretical results for deep learning , even though the current results are restrictive to very simple NN architectures .",3,2
ShitMyReviews,,The English language ranks this manuscript among the top 5 worst manuscripts I have ever reviewed,2,3
